"Honorific Title","First Name","Last Name","Constituency","Province / Territory","Political Affiliation","Start Date","End Date",
"","Romeo","Saganash","Abitibi—Baie-James—Nunavik—Eeyou","Quebec","NDP","10/19/2015 12:00:00 AM","",
"","Ruby","Sahota","Brampton North","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Raj","Saini","Kitchener Centre","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Harjit S.","Sajjan","Vancouver South","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Darrell","Samson","Sackville—Preston—Chezzetcook","Nova Scotia","Liberal","10/19/2015 12:00:00 AM","",
"","Ramesh","Sangha","Brampton Centre","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Brigitte","Sansoucy","Saint-Hyacinthe—Bagot","Quebec","NDP","10/19/2015 12:00:00 AM","",
"","Randeep","Sarai","Surrey Centre","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Bob","Saroya","Markham—Unionville","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Francis","Scarpaleggia","Lac-Saint-Louis","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Andrew","Scheer","Regina—Qu'Appelle","Saskatchewan","Conservative","10/19/2015 12:00:00 AM","",
"","Peter","Schiefke","Vaudreuil—Soulanges","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Jamie","Schmale","Haliburton—Kawartha Lakes—Brock","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Deborah","Schulte","King—Vaughan","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Marc","Serré","Nickel Belt","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Judy A.","Sgro","Humber River—Black Creek","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Brenda","Shanahan","Châteauguay—Lacolle","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Terry","Sheehan","Sault Ste. Marie","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Martin","Shields","Bow River","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Bev","Shipley","Lambton—Kent—Middlesex","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Jati","Sidhu","Mission—Matsqui—Fraser Canyon","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Sonia","Sidhu","Brampton South","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Gagan","Sikand","Mississauga—Streetsville","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Scott","Simms","Coast of Bays—Central—Notre Dame","Newfoundland and Labrador","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Amarjeet","Sohi","Edmonton Mill Woods","Alberta","Liberal","10/19/2015 12:00:00 AM","",
"","Robert","Sopuck","Dauphin—Swan River—Neepawa","Manitoba","Conservative","10/19/2015 12:00:00 AM","",
"","Francesco","Sorbara","Vaughan—Woodbridge","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Kevin","Sorenson","Battle River—Crowfoot","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Sven","Spengemann","Mississauga—Lakeshore","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Bruce","Stanton","Simcoe North","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Gabriel","Ste-Marie","Joliette","Quebec","Bloc Québécois","10/19/2015 12:00:00 AM","",
"","Wayne","Stetski","Kootenay—Columbia","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"","Kennedy","Stewart","Burnaby South","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"","Mark","Strahl","Chilliwack—Hope","British Columbia","Conservative","10/19/2015 12:00:00 AM","",
"","Shannon","Stubbs","Lakeland","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","David","Sweet","Flamborough—Glanbrook","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Marwan","Tabbara","Kitchener South—Hespeler","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Geng","Tan","Don Valley North","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Filomena","Tassi","Hamilton West—Ancaster—Dundas","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Luc","Thériault","Montcalm","Quebec","Bloc Québécois","10/19/2015 12:00:00 AM","",
"","David","Tilson","Dufferin—Caledon","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Hunter","Tootoo","Nunavut","Nunavut","Independent","10/19/2015 12:00:00 AM","",
"","Brad","Trost","Saskatoon—University","Saskatchewan","Conservative","10/19/2015 12:00:00 AM","",
"Right Hon.","Justin","Trudeau","Papineau","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Karine","Trudel","Jonquière","Quebec","NDP","10/19/2015 12:00:00 AM","",
"","Dave","Van Kesteren","Chatham-Kent—Leamington","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Peter","Van Loan","York—Simcoe","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Dan","Vandal","Saint Boniface—Saint Vital","Manitoba","Liberal","10/19/2015 12:00:00 AM","",
"","Anita","Vandenbeld","Ottawa West—Nepean","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Adam","Vaughan","Spadina—Fort York","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Karen","Vecchio","Elgin—Middlesex—London","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Arnold","Viersen","Peace River—Westlock","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Arif","Virani","Parkdale—High Park","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Cathay","Wagantall","Yorkton—Melville","Saskatchewan","Conservative","10/19/2015 12:00:00 AM","",
"","Mark","Warawa","Langley—Aldergrove","British Columbia","Conservative","10/19/2015 12:00:00 AM","",
"","Chris","Warkentin","Grande Prairie—Mackenzie","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Dianne L.","Watts","South Surrey—White Rock","British Columbia","Conservative","10/19/2015 12:00:00 AM","",
"","Kevin","Waugh","Saskatoon—Grasswood","Saskatchewan","Conservative","10/19/2015 12:00:00 AM","",
"","Len","Webber","Calgary Confederation","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Erin","Weir","Regina—Lewvan","Saskatchewan","NDP","10/19/2015 12:00:00 AM","",
"","Nick","Whalen","St. John's East","Newfoundland and Labrador","Liberal","10/19/2015 12:00:00 AM","",
"","Jonathan","Wilkinson","North Vancouver","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Jody","Wilson-Raybould","Vancouver Granville","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Alice","Wong","Richmond Centre","British Columbia","Conservative","10/19/2015 12:00:00 AM","",
"","Borys","Wrzesnewskyj","Etobicoke Centre","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Kate","Young","London West","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","David","Yurdiga","Fort McMurray—Cold Lake","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Salma","Zahid","Scarborough Centre","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Bob","Zimmer","Prince George—Peace River—Northern Rockies","British Columbia","Conservative","10/19/2015 12:00:00 AM","",


